Student Name,Class,Semester,Grade
Anthony Perez,English 101,Fall,87
Donald Ramirez,Calculus 1,Fall,74
Daniel Green,Calculus 1,Fall,87
Michael Lee,Python 101,Fall,68
George Hill,Intro to Databases,Fall,89
Jessica Lee,Intro to Databases,Fall,79
Robert King,Calculus 1,Fall,80
William Sanchez,English 101,Spring,60
George Campbell,Python 101,Spring,63
Emily Sanchez,Python 101,Spring,100
Jessica Williams,Intro to Databases,Fall,68
Steven Flores,English 101,Spring,96
Paul Anderson,English 101,Spring,64
Betty Wilson,English 101,Spring,69
Barbara Young,Calculus 1,Fall,84
Barbara Hernandez,Intro to Databases,Fall,95
Thomas Taylor,Intro to Databases,Spring,72
David Green,Python 101,Spring,84
Charles Thompson,Calculus 1,Fall,72
George Perez,Intro to Databases,Fall,99
Deborah Hernandez,English 101,Fall,84
Amanda Perez,Intro to Databases,Spring,94
Anthony Walker,English 101,Spring,71
Emily Brown,Intro to Databases,Spring,95
Deborah Sanchez,Calculus 1,Spring,83
William Moore,Intro to Databases,Spring,62
Karen Scott,English 101,Spring,77
Michelle Hernandez,Python 101,Fall,70
Jessica Taylor,English 101,Fall,70
Patricia Wilson,Intro to Databases,Spring,98
William Anderson,Python 101,Fall,70
Patricia Flores,Python 101,Spring,99
Deborah Adams,Python 101,Spring,90
Mary Flores,Calculus 1,Spring,73
Steven Walker,Python 101,Spring,98
James Johnson,Calculus 1,Fall,84
Margaret Harris,English 101,Spring,70
Carol Moore,English 101,Fall,89
Ashley Thomas,Intro to Databases,Spring,72
Michael Baker,English 101,Spring,72
David Rivera,Calculus 1,Spring,86
Donna Hall,Intro to Databases,Fall,66
Kimberly Hernandez,Calculus 1,Spring,69
Patricia Rivera,Calculus 1,Fall,63
Betty Young,Calculus 1,Spring,98
Donna Roberts,Python 101,Fall,60
Dorothy Campbell,Calculus 1,Spring,86
Steven Hall,Python 101,Spring,78
Matthew Walker,Calculus 1,Spring,60
Thomas Lopez,Calculus 1,Spring,85
Patricia Hill,Intro to Databases,Fall,93
Margaret Campbell,English 101,Fall,100
Sandra Martin,Intro to Databases,Fall,70
Richard Martinez,English 101,Spring,75
Andrew Flores,Intro to Databases,Fall,91
Stephanie Williams,English 101,Spring,62
Richard Rodriguez,Calculus 1,Fall,95
Thomas Harris,Calculus 1,Spring,82
Sandra Lewis,Calculus 1,Spring,83
Carol Perez,Intro to Databases,Spring,2
Robert Green,English 101,Spring,73
George Thompson,English 101,Fall,84
Stephanie Carter,English 101,Fall,87
Kimberly Moore,Calculus 1,Spring,67
Kevin Wright,Calculus 1,Spring,99
Robert Roberts,Python 101,Spring,91
Linda White,Python 101,Spring,76
Deborah Hall,English 101,Spring,66
Sandra Moore,Calculus 1,Fall,83
Paul Jones,English 101,Spring,97
Paul White,Calculus 1,Spring,100
Ashley Davis,Calculus 1,Fall,66
John Martinez,Calculus 1,Spring,87
Kimberly King,Intro to Databases,Spring,77
Kimberly Allen,Intro to Databases,Spring,60
Richard Lopez,Calculus 1,Spring,82
Stephanie Mitchell,Intro to Databases,Fall,66
George Lewis,Python 101,Spring,78
Jessica Clark,Calculus 1,Spring,72
James Lopez,Intro to Databases,Fall,76
Michelle Lee,Intro to Databases,Spring,91
Christopher Campbell,Python 101,Spring,95
Donna Moore,Calculus 1,Fall,70
Timothy Martinez,Intro to Databases,Spring,79
Stephanie Martinez,Python 101,,85
Andrew Green,Dancing,Spring,66
Nancy Jones,Python 101,Spring,95
Christopher Lewis,Python 101,Fall,60
Nancy White,English 101,Fall,86
Betty Moore,English 101,Fall,77
Richard Garcia,English 101,Fall,60
Margaret Moore,Intro to Databases,Spring,92
Dorothy Torres,Intro to Databases,Fall,105
Kimberly Williams,English 101,Spring,66
Brian Taylor,Python 101,Fall,64
Kenneth Roberts,English 101,Fall,60
Donna Brown,Calculus 1,Spring,80
Joshua Hernandez,Intro to Databases,Fall,84
Timothy Lewis,Python 101,Fall,73
Nancy Hernandez,Calculus 1,Fall,62
